selection_type,selection_level,artifact_id,repo_id,name,normalized_description,artifact_group_size,repo_full_name,path,file_sha,first_commit_at,sibling_file_count,sibling_content_sha,notes
content,low,2302394,140107,code-dedup,"searches for duplicate code, duplicate tests, and dead code, then safely merges or removes them. use when the user says ""deduplicate"", ""find duplicates"", ""remove dead code"", ""dry up"", or ""code dedup"". requires test coverage — refuses to touch untested code.",10,Nimblesite/eleventy-plugin-techdoc,.claude/skills/code-dedup/SKILL.md,020298b94b1e9516d8aa072218fcde389a53f6cc,2026-06-05T23:05:25Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0 content screening hits
content,low,772790,12354,code-dedup,"searches for duplicate code, duplicate tests, and dead code, then safely merges or removes them. use when the user says ""deduplicate"", ""find duplicates"", ""remove dead code"", ""dry up"", or ""code dedup"". requires test coverage — refuses to touch untested code.",10,MelbourneDeveloper/dart_node,.claude/skills/code-dedup/SKILL.md,0193b0765eae4e1a23bd2006c192e7d85a634162,2026-06-07T06:21:16Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0 content screening hits
content,medium,2510546,99654,run-zer0-mistakes,"build, launch, serve, and screenshot the zer0-mistakes jekyll theme site locally. use when asked to run/start/serve/preview the site or theme, take a screenshot of a page, smoke-test routes, or confirm a layout/include/sass change renders in the real running site (not just tests). drives the live jekyll server at localhost:4000 with a headless chromium driver.",2,bamr87/zer0-mistakes,.claude/skills/run-zer0-mistakes/SKILL.md,d99dd6aa3c376ac7039950b05eeb1b94a32d3ef6,2026-06-14T19:52:46Z,1,e7ff69c885b7d58e5dc38c28104697448096ed5e3fab6c0a8161462a31aad0a3,3 content screening hits
content,medium,2517835,70646,run-zer0-mistakes,"build, launch, serve, and screenshot the zer0-mistakes jekyll theme site locally. use when asked to run/start/serve/preview the site or theme, take a screenshot of a page, smoke-test routes, or confirm a layout/include/sass change renders in the real running site (not just tests). drives the live jekyll server at localhost:4000 with a headless chromium driver.",2,bamr87/README,docs/zer0-mistakes/.claude/skills/run-zer0-mistakes/SKILL.md,7c7be9eec34ab3781365d177b3da480225178cc8,2026-07-17T03:56:20Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,3 content screening hits
lineage,high,2244942,186768,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, or applications. generates creative, polished code that avoids generic ai aesthetics.",106,nirukk52/Manjha,.claude/skills/frontend-design/SKILL.md,6fad1d86e74131c0a87e847673c06d095516d10d,2025-11-18T19:21:17Z,1,ef22f4c606055641ee86563fd09ddebcdd45f3ecac5870a01f30aa00d742b919,128 artifact family
lineage,high,2060412,201559,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, or applications, or when they provide screenshots/images/designs to replicate or draw inspiration from. for screenshot inputs, extracts design guidelines first using ai-multimodal analysis, then implements code following those guidelines. generates creative, polished code that avoids generic ai aesthetics.",3,dijnie2/proteus,.claude/skills/frontend-design/SKILL.md,6ca2ad5eab9eebc9aaad312723087348daf872d3,2025-11-26T22:02:45Z,16,d6a1c28a9ab1eb62814a7c1fb42b67ac287afc3148d96b2acd7f03f92bb53cbe,128 artifact family
lineage,high,1241499,135600,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, or applications. generates creative, polished code that avoids generic ai aesthetics.",106,raisiqueira/claude-code-plugins,plugins/frontend-design/.claude/skills/frontend-design/SKILL.md,88a7be2c725ee1dfe3fedece870ac13d2ebbffa1,2025-11-27T18:31:28Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,128 artifact family
lineage,high,2977674,207404,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, or applications. generates creative, polished code that avoids generic ai aesthetics.",106,Etlaq/etlaq-nextjs-template,.claude/skills/frontend-design/SKILL.md,67d788a0dd354e05e33646edd71f4d3a34b35970,2025-11-30T08:18:26Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,128 artifact family
lineage,high,1419227,152913,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, or applications. generates creative, polished code that avoids generic ai aesthetics.",106,Danor93/pdf-voice-chat,.claude/skills/frontend-design/SKILL.MD,d5a05e27b85cf428fbd3473a3676beb695395653,2025-12-04T09:57:57Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,128 artifact family
lineage,high,1423867,100791,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, or applications. generates creative, polished code that avoids generic ai aesthetics.",106,duongductrong/cursor-kit,templates/skills/frontend-design/SKILL.md,89553eac23adf0d3cabe8bae980c54de4818d2e5,2025-12-06T10:16:56Z,1,b920ab4369ec43d4676e519c32a932df9a68b3c7709059c9455285fd9d603cbf,128 artifact family
lineage,high,1958207,141056,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, or applications. generates creative, polished code that avoids generic ai aesthetics.",106,PiotrMieszczak/ai_catalog,.claude/skills/frontend-design/SKILL.md,98cc90f6c1126f9fbca13358a09eff85004620e0,2025-12-11T22:27:03Z,1,0695e5755d8d2fd74cb63b6ba49da625ee91b5d8213072e2cb35850dcb0fe388,128 artifact family
lineage,high,1307268,141976,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, or applications. generates creative, polished code that avoids generic ai aesthetics.",106,costiash/CognivAgent,.claude/skills/frontend-design/SKILL.md,3482044a3fb62ad8f7e8b06d800eda7db415d6cd,2025-12-13T15:03:21Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,128 artifact family
lineage,high,1420992,153090,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, or applications. generates creative, polished code that avoids generic ai aesthetics.",106,aaron-howard/training-certify,.claude/skills/frontend-design/SKILL.md,29e988369da7055a7e92fb408e736af7dc69c0b4,2025-12-16T19:44:51Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,128 artifact family
lineage,high,1477685,158198,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, artifacts, posters, or applications (examples include websites, landing pages, dashboards, react components, html/css layouts, or when styling/beautifying any web ui). generates creative, polished code and ui design that avoids generic ai aesthetics.",128,JagadeeshBabuDamarasingu/forge,.claude/skills/frontend-design/SKILL.md,f162e68600c89f2e085e8df5de0e10de82ee9ada,2025-12-16T19:44:51Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,128 artifact family
lineage,high,1405575,151547,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, or applications. generates creative, polished code that avoids generic ai aesthetics.",106,bridgpal/gemini-test,.claude/skills/frontend-design/SKILL.md,cdf9c2eb016eae00bf457c90d1bd29333bb053e3,2025-12-19T22:26:21Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,128 artifact family
lineage,high,2468037,223724,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, artifacts, posters, or applications (examples include websites, landing pages, dashboards, react components, html/css layouts, or when styling/beautifying any web ui). generates creative, polished code and ui design that avoids generic ai aesthetics.",128,cutthenoiz/predispy,.claude/skills/frontend-design/SKILL.md,d9f6497fab35a54cab0d4ef877c9cfd515bd6dd5,2025-12-20T11:55:06Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,128 artifact family
lineage,high,1405827,94849,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, or applications. generates creative, polished code that avoids generic ai aesthetics.",106,DahamiTaoufik-Jet/HealthFlowFinal,.claude/skills/frontend-design/SKILL.md,79fd1e9b14844bbc80b0ad39590b2727ebbd0193,2025-12-21T11:10:49Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,128 artifact family
lineage,high,2886695,123619,frontend-design,"design thinking and decision-making for web ui. use when designing components, layouts, color schemes, typography, or creating aesthetic interfaces. teaches principles, not fixed values.",12,GrupoUS/gpus,.claude/skills/frontend-design/SKILL.md,a08d9527ec93d5ad24070d8425bc25875859d36c,2025-12-23T23:19:02Z,15,09acbfed6343c8721b2ec91a334f4fcea9fdccdcf8cf8dd9329bbf9f2002b6a5,128 artifact family
lineage,high,1690243,154204,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, or applications. generates creative, polished code that avoids generic ai aesthetics.",106,tidemann/st44-home,.claude/skills/frontend-design/SKILL.md,0c2c97a0d99324f0f39c7dc2e583d0f376d01323,2025-12-24T21:53:07Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,128 artifact family
lineage,high,1625026,56177,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, or applications. generates creative, polished code that avoids generic ai aesthetics.",106,jasonmichaelbell78-creator/sonash-v0,.claude/skills/frontend-design/SKILL.md,aee89d677836bcfeecf158f5da3b52ac5368a8a8,2025-12-31T03:14:03Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,128 artifact family
lineage,high,2038462,3308,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, or applications, or when they provide screenshots/images/designs to replicate or draw inspiration from. for screenshot inputs, extracts design guidelines first using ai-multimodal analysis, then implements code following those guidelines. generates creative, polished code that avoids generic ai aesthetics.",3,CongDon1207/AGENTS.md,.claude/skills/frontend-design/SKILL.md,a2c841e26060ea6228ee1ae7b3e8368031a5fd69,2026-01-02T08:02:30Z,16,d254181075bffb160d45888f1d77f9b0c6dc531211000c4444e68d3c5e6d1f8b,128 artifact family
lineage,high,3069286,196858,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, or applications. generates creative, polished code that avoids generic ai aesthetics.",106,duyet/duyetbot-agent,apps/duyetbot-action/.claude/skills/frontend-design/SKILL.md,6a18451d8478521d9ce575a9dcb5fe1c50038fc0,2026-01-05T19:53:49Z,1,ee1c147c9528c1680f7b9b52a3b45e9c5b5d69d8b7eaaf89cfa9150f5f14a782,128 artifact family
lineage,high,1434587,91369,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, or applications. generates creative, polished code that avoids generic ai aesthetics.",106,DragonnZhang/savings-simulator,.claude/skills/frontend-design/SKILL.md,acc227f02037bd0cdd1df003d8a151f841f2caef,2026-01-06T08:56:22Z,1,b920ab4369ec43d4676e519c32a932df9a68b3c7709059c9455285fd9d603cbf,128 artifact family
lineage,high,2580600,56054,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, or applications. generates creative, polished code that avoids generic ai aesthetics.",106,Spectaculous-Code/raamattu-nyt,.claude/skills/frontend-design/SKILL.md,6e349777e37a99fbd2b6da96fc237e3b48e858fe,2026-01-08T00:49:57Z,5,a83c7a6b127a9ddcde961332d328c5a5061f225866993e7fade2922419823d8d,128 artifact family
lineage,high,1418951,152895,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, or applications. generates creative, polished code that avoids generic ai aesthetics.",106,Prorise-cool/ProrisePromptMinder,.claude/skills/frontend-design/SKILL.md,f7ddac7d64697f105981f4463bb19c7073d079ab,2026-01-08T02:42:14Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,128 artifact family
lineage,high,1503778,160444,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, or applications. generates creative, polished code that avoids generic ai aesthetics.",106,louise36-g/MysticOracle,.claude/skills/frontend-design/SKILL.md,ebf9d82ba9d8d6f114445a0d90957b87a96f9a6b,2026-01-08T20:39:33Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,128 artifact family
lineage,high,1417608,152611,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, or applications. generates creative, polished code that avoids generic ai aesthetics.",106,Donnadieu/continuum,.claude/skills/frontend-design/SKILL.md,80ecc2072256528bad2e55a06bffef33b0704f16,2026-01-09T05:19:49Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,128 artifact family
lineage,high,1467953,50321,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, artifacts, posters, or applications (examples include websites, landing pages, dashboards, react components, html/css layouts, or when styling/beautifying any web ui). generates creative, polished code and ui design that avoids generic ai aesthetics.",128,Cissou34730/Azure-Architect-Assistant,.github/skills/frontend-design/SKILL.md,b499408e5946a68ffe4616ad5d06b6bdea459921,2026-01-09T10:11:11Z,1,ef22f4c606055641ee86563fd09ddebcdd45f3ecac5870a01f30aa00d742b919,128 artifact family
lineage,high,1404589,36183,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, or applications. generates creative, polished code that avoids generic ai aesthetics.",106,ItsKumailHere/taskdotdo,.claude/skills/frontend-design/SKILL.md,84c69201c19c41382142093c46a4faed88fca757,2026-01-09T18:12:15Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,128 artifact family
lineage,high,1445146,64724,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, or applications. generates creative, polished code that avoids generic ai aesthetics.",106,Nightwolf7570/donna2.0,.claude/skills/frontend-design/SKILL.md,0156c4b043b75932350af3b09241823891adc973,2026-01-10T22:00:30Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,128 artifact family
lineage,high,3757486,280270,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, or applications. generates creative, polished code that avoids generic ai aesthetics.",106,v15ar/mojomentors_modern,.claude/skills/shadcn-frontend/SKILL.md,3f13907fb9ce6795b782865c40ec1ad39fded94e,2026-01-11T12:37:48Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,128 artifact family
lineage,high,3663898,276215,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, artifacts, posters, or applications (examples include websites, landing pages, dashboards, react components, html/css layouts, or when styling/beautifying any web ui). generates creative, polished code and ui design that avoids generic ai aesthetics.",128,OniT-Enterprises/OniT-HR-Payrollerz,.claude/skills/frontend-design/SKILL.md,098c21c5e86278d7d743a73acb3dcea687b3e501,2026-01-11T17:21:58Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,128 artifact family
lineage,high,1460779,113060,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, artifacts, posters, or applications (examples include websites, landing pages, dashboards, react components, html/css layouts, or when styling/beautifying any web ui). generates creative, polished code and ui design that avoids generic ai aesthetics.",128,chaitanyame/test-ralph-githubcopilot,.github/skills/frontend-design/SKILL.md,ca44023b8943c2f696ce6377e62e56212ba349f9,2026-01-12T05:45:27Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,128 artifact family
lineage,high,1410434,7796,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, artifacts, posters, or applications (examples include websites, landing pages, dashboards, react components, html/css layouts, or when styling/beautifying any web ui). generates creative, polished code and ui design that avoids generic ai aesthetics.",128,mwathiben/PropManager,.claude/skills/frontend-design/SKILL.md,e8f912dcbeb1b685a6e04b519836b8397690723a,2026-01-13T12:29:53Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,128 artifact family
lineage,high,1498217,52674,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, artifacts, posters, or applications (examples include websites, landing pages, dashboards, react components, html/css layouts, or when styling/beautifying any web ui). generates creative, polished code and ui design that avoids generic ai aesthetics.",128,rbrown101010/app,.claude/skills/frontend-design/SKILL.md,0e96b24b101ad96c654f714768020a5b6033dc16,2026-01-13T21:51:33Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,128 artifact family
lineage,high,1656620,40178,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, artifacts, posters, or applications (examples include websites, landing pages, dashboards, react components, html/css layouts, or when styling/beautifying any web ui). generates creative, polished code and ui design that avoids generic ai aesthetics.",128,onmax/claude-config,skills/frontend-design/SKILL.md,18e63395a06fa24776692c552c3ff5502b4f9ed2,2026-01-14T10:12:29Z,6,2915f76753d63c80ccd6d8399ca8d2c6fb4610c4f98a5e83c0b209f0b78bf376,128 artifact family
lineage,high,1469077,15371,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, artifacts, posters, or applications (examples include websites, landing pages, dashboards, react components, html/css layouts, or when styling/beautifying any web ui). generates creative, polished code and ui design that avoids generic ai aesthetics.",128,FortiumPartners/ensemble-vnext,ensemble-vnext-test-fixtures/variants/without-commands/kanban-board/.claude/skills/frontend-design/SKILL.md,4f97f2e7823edd25190a5461dcdfe930cd67130d,2026-01-16T10:28:34Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,128 artifact family
lineage,high,1975368,2859,frontend-design,"create polished frontend interfaces from designs/screenshots with high design quality. use for web components, pages, replicating ui designs, extracting design guidelines, avoiding ai slop aesthetics.",2,Stonelukas/Mouse-on-Numpad,.claude/skills/frontend-design/SKILL.md,24639e6f88e45dc15e2875dc3a70dba31a54f74d,2026-01-17T12:44:59Z,16,d254181075bffb160d45888f1d77f9b0c6dc531211000c4444e68d3c5e6d1f8b,128 artifact family
lineage,high,1464442,153534,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, artifacts, posters, or applications (examples include websites, landing pages, dashboards, react components, html/css layouts, or when styling/beautifying any web ui). generates creative, polished code and ui design that avoids generic ai aesthetics.",128,jodagreyhame/ralph-wiggum-docker,.claude/skills/frontend-design/SKILL.md,e753c814b4a2e2f73e1bc538a707e1b896a7195a,2026-01-17T16:34:25Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,128 artifact family
lineage,high,1413087,152151,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, or applications. generates creative, polished code that avoids generic ai aesthetics.",106,martinjlowm/nixfiles,config/claude/skills/frontend-design/SKILL.md,e4c042bb1bdeede3d20b1ece88d2de0d95c43921,2026-01-18T00:12:29Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,128 artifact family
lineage,high,1211662,101002,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, artifacts, posters, or applications (examples include websites, landing pages, dashboards, react components, html/css layouts, or when styling/beautifying any web ui). generates creative, polished code and ui design that avoids generic ai aesthetics.",128,DesmondChoy/twinkl,.claude/skills/frontend-design/SKILL.md,f609883b3cb495e4bdfc5eb327c81f0461a03ebd,2026-01-18T01:14:32Z,1,c7da4b148c60ef9e8fcd709a10e58a51d8a11e6241e92021eb407395eebe1bf5,128 artifact family
lineage,high,648946,87001,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, or applications.",2,paulhopcraft-dot/preventli,.ai/backups/20260118-104612/.ai/backups/20260118-104612/.claude/skills/frontend-design/SKILL.md,dd76507c856dbe605e2bb21111260353b8cd0222,2026-01-19T01:51:46Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,128 artifact family
lineage,high,188303,29631,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality.",3,joshdev24/ProyectoFinalFrontEnd,.agent/skills/frontend-design/SKILL.md,3536a69ca9764b9185f9678ba69e1dd3e62453ce,2026-01-20T03:30:53Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,128 artifact family
lineage,high,1420441,15322,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, or applications. generates creative, polished code that avoids generic ai aesthetics.",106,AndrijaSkontra/ai-driven-project-template,.claude/skills/frontend-design/SKILL.md,93857b76d1cb6bb4a91a9abbf5f65b002da5d7b6,2026-01-20T08:46:02Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,128 artifact family
lineage,high,1997820,2862,frontend-design,"create polished frontend interfaces from designs/screenshots with high design quality. use for web components, pages, replicating ui designs, extracting design guidelines, avoiding ai slop aesthetics.",2,lukebaze/forex-rebate-bot,.claude/skills/frontend-design/SKILL.md,9b3d03517c20525bd9566df245e5fde4527ef004,2026-01-20T09:18:17Z,16,d6a1c28a9ab1eb62814a7c1fb42b67ac287afc3148d96b2acd7f03f92bb53cbe,128 artifact family
lineage,high,2350056,217424,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, or applications. generates creative, polished code that avoids generic ai aesthetics.",106,roblucci9302/BAVINI25,.claude/skills/frontend-design/SKILL.md,324658b2c3e589400b34d861cfcfd8882fd90d5e,2026-01-21T02:00:08Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,128 artifact family
lineage,high,1585302,167390,frontend-design,"create distinctive, production-grade frontend interfaces with high design quality. use this skill when the user asks to build web components, pages, or applications. generates creative, polished code that avoids generic ai aesthetics.",106,julietteengel/piv-loop-landing-page,.claude/skills/frontend-design/SKILL.md,c182ef9a2b5ecce2a2387e79b39f55b66ef3c55a,2026-01-21T20:02:53Z,2,66aecdb85cc46cd970e79af76fbcf36f9976b0b49039428f45b42cee3b35aa9f,128 artifact family
